month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2025/10/01 04:00:00+00,Weekday,22,Blue Line,1191542,54161,757
2025/10/01 04:00:00+00,Weekday,22,Orange Line,3316968,150771,758
2025/10/01 04:00:00+00,Weekday,22,Red Line,3608907,164041,759
2025/10/01 04:00:00+00,Weekday,22,Heavy Rail,8117417,368974,760
2025/10/01 04:00:00+00,Weekday,22,Green Line,2953678,134258,761
2025/10/01 04:00:00+00,Weekday,22,Mattapan Line,74610,3391,762
2025/10/01 04:00:00+00,Weekday,22,Light Rail,3028288,137649,763
2025/10/01 04:00:00+00,Weekday,22,Silver Line,713116,32414,764
2025/10/01 04:00:00+00,Weekday,22,Bus,6418790,291763,765
2025/10/01 04:00:00+00,Weekday,22,All Bus,7131906,324178,766
2025/10/01 04:00:00+00,Weekday,22,Commuter Rail,2292936,104224,767
2025/10/01 04:00:00+00,Weekday,22,Ferry,104843,4766,768
2025/10/01 04:00:00+00,Weekday,23,The RIDE,95082,4134,769
2025/10/01 04:00:00+00,Saturday,5,Blue Line,193707,38741,770
2025/10/01 04:00:00+00,Saturday,5,Orange Line,434662,86932,771
2025/10/01 04:00:00+00,Saturday,5,Red Line,583767,116753,772
2025/10/01 04:00:00+00,Saturday,5,Heavy Rail,1212137,242427,773
2025/10/01 04:00:00+00,Saturday,5,Green Line,621314,124263,774
2025/10/01 04:00:00+00,Saturday,5,Mattapan Line,9285,1857,775
2025/10/01 04:00:00+00,Saturday,5,Light Rail,630599,126120,776
2025/10/01 04:00:00+00,Saturday,5,Silver Line,116932,23386,777
2025/10/01 04:00:00+00,Saturday,5,Bus,818675,163735,778
2025/10/01 04:00:00+00,Saturday,5,All Bus,935607,187121,779
2025/10/01 04:00:00+00,Saturday,4,Commuter Rail,179961,44990,780
2025/10/01 04:00:00+00,Saturday,4,Ferry,10586,2646,781
2025/10/01 04:00:00+00,Saturday,4,The RIDE,8493,2123,782
2025/10/01 04:00:00+00,Sunday,4,Blue Line,124498,31124,783
2025/10/01 04:00:00+00,Sunday,4,Orange Line,272663,68166,784
2025/10/01 04:00:00+00,Sunday,4,Red Line,355344,88836,785
2025/10/01 04:00:00+00,Sunday,4,Heavy Rail,752504,188126,786
2025/10/01 04:00:00+00,Sunday,4,Green Line,362168,90542,787
2025/10/01 04:00:00+00,Sunday,4,Mattapan Line,5466,1366,788
2025/10/01 04:00:00+00,Sunday,4,Light Rail,367634,91908,789
2025/10/01 04:00:00+00,Sunday,4,Silver Line,73093,18273,790
2025/10/01 04:00:00+00,Sunday,4,Bus,463646,115912,791
2025/10/01 04:00:00+00,Sunday,4,All Bus,536739,134185,792
2025/10/01 04:00:00+00,Sunday,4,Commuter Rail,150728,37682,793
2025/10/01 04:00:00+00,Sunday,4,Ferry,5783,1446,794
2025/10/01 04:00:00+00,Sunday,4,The RIDE,7603,1901,795
2025/10/01 04:00:00+00,Total,31,Blue Line,1509748,48702,796
2025/10/01 04:00:00+00,Total,31,Orange Line,4024293,129816,797
2025/10/01 04:00:00+00,Total,31,Red Line,4548018,146710,798
2025/10/01 04:00:00+00,Total,31,Heavy Rail,10082059,325228,799
2025/10/01 04:00:00+00,Total,31,Green Line,3937159,127005,800
2025/04/01 04:00:00+00,Total,30,Mattapan Line,89,3,801
2025/04/01 04:00:00+00,Total,30,Light Rail,4032843,134428,802
2025/04/01 04:00:00+00,Total,30,Silver Line,822270,27409,803
2025/04/01 04:00:00+00,Total,30,Bus,7152109,238404,804
2025/04/01 04:00:00+00,Total,30,All Bus,7974379,265813,805
2025/04/01 04:00:00+00,Total,30,Commuter Rail,2522858,84095,806
2025/04/01 04:00:00+00,Total,30,Ferry,109343,3645,807
2025/04/01 04:00:00+00,Total,30,The RIDE,107340,3578,808
2025/03/01 05:00:00+00,Weekday,21,Blue Line,993144,47293,809
2025/03/01 05:00:00+00,Weekday,21,Orange Line,2703361,128731,810
2025/03/01 05:00:00+00,Weekday,21,Red Line,2731891,130090,811
2025/03/01 05:00:00+00,Weekday,21,Heavy Rail,6428396,306114,812
2025/03/01 05:00:00+00,Weekday,21,Green Line,2766287,131728,813
2025/03/01 05:00:00+00,Weekday,21,Mattapan Line,17204,819,814
2025/03/01 05:00:00+00,Weekday,21,Light Rail,2783491,132547,815
2025/03/01 05:00:00+00,Weekday,21,Silver Line,614913,29282,816
2025/03/01 05:00:00+00,Weekday,21,Bus,5753241,273964,817
2025/03/01 05:00:00+00,Weekday,21,All Bus,6368154,303245,818
2025/03/01 05:00:00+00,Weekday,21,Commuter Rail,2105823,100277,819
2025/03/01 05:00:00+00,Weekday,21,Ferry,79464,3784,820
2025/03/01 05:00:00+00,Weekday,21,The RIDE,87276,4156,821
2025/03/01 05:00:00+00,Saturday,5,Blue Line,169584,33917,822
2025/03/01 05:00:00+00,Saturday,5,Orange Line,369813,73963,823
2025/03/01 05:00:00+00,Saturday,5,Red Line,417117,83423,824
2025/03/01 05:00:00+00,Saturday,5,Heavy Rail,956513,191303,825
2025/03/01 05:00:00+00,Saturday,5,Green Line,549241,109848,826
2025/03/01 05:00:00+00,Saturday,5,Mattapan Line,2574,515,827
2025/03/01 05:00:00+00,Saturday,5,Light Rail,551815,110363,828
2025/03/01 05:00:00+00,Saturday,5,Silver Line,99871,19974,829
2025/03/01 05:00:00+00,Saturday,5,Bus,774827,154965,830
2025/03/01 05:00:00+00,Saturday,5,All Bus,874698,174940,831
2025/03/01 05:00:00+00,Saturday,5,Commuter Rail,165056,33011,832
2025/03/01 05:00:00+00,Saturday,5,Ferry,2115,423,833
2025/03/01 05:00:00+00,Saturday,5,The RIDE,10650,2130,834
2025/03/01 05:00:00+00,Sunday,5,Blue Line,128084,25617,835
2025/03/01 05:00:00+00,Sunday,5,Orange Line,276411,55282,836
2025/03/01 05:00:00+00,Sunday,5,Red Line,333688,66738,837
2025/03/01 05:00:00+00,Sunday,5,Heavy Rail,738184,147637,838
2025/03/01 05:00:00+00,Sunday,5,Green Line,405096,81019,839
2025/03/01 05:00:00+00,Sunday,5,Mattapan Line,1806,361,840
2025/03/01 05:00:00+00,Sunday,5,Light Rail,406903,81381,841
2025/03/01 05:00:00+00,Sunday,5,Silver Line,86249,17250,842
2025/03/01 05:00:00+00,Sunday,5,Bus,519969,103994,843
2025/03/01 05:00:00+00,Sunday,5,All Bus,606219,121244,844
2025/03/01 05:00:00+00,Sunday,5,Commuter Rail,159394,31879,845
2025/03/01 05:00:00+00,Sunday,5,Ferry,1546,309,846
2025/03/01 05:00:00+00,Sunday,5,The RIDE,9245,1849,847
2025/03/01 05:00:00+00,Total,31,Blue Line,1290812,41639,848
2025/03/01 05:00:00+00,Total,31,Orange Line,3349585,108051,849
2025/03/01 05:00:00+00,Total,31,Red Line,3482696,112345,850
2024/10/01 04:00:00+00,Sunday,4,Light Rail,389978,97494,851
2024/10/01 04:00:00+00,Sunday,4,Silver Line,78904,19726,852
2024/10/01 04:00:00+00,Sunday,4,Bus,450417,112604,853
2024/10/01 04:00:00+00,Sunday,4,All Bus,529321,132330,854
2024/10/01 04:00:00+00,Sunday,4,Commuter Rail,155985,38996,855
2024/10/01 04:00:00+00,Sunday,4,Ferry,5329,1332,856
2024/10/01 04:00:00+00,Sunday,4,The RIDE,7696,1924,857
2024/10/01 04:00:00+00,Total,31,Blue Line,1564640,50472,858
2024/10/01 04:00:00+00,Total,31,Orange Line,3046881,98286,859
2024/10/01 04:00:00+00,Total,31,Red Line,4016827,129575,860
2024/10/01 04:00:00+00,Total,31,Heavy Rail,8628347,278334,861
2024/10/01 04:00:00+00,Total,31,Green Line,4479408,144497,862
2024/10/01 04:00:00+00,Total,31,Mattapan Line,97088,3132,863
2024/10/01 04:00:00+00,Total,31,Light Rail,4576496,147629,864
2024/10/01 04:00:00+00,Total,31,Silver Line,950838,30672,865
2024/10/01 04:00:00+00,Total,31,Bus,7880863,254221,866
2024/10/01 04:00:00+00,Total,31,All Bus,8831701,284894,867
2024/10/01 04:00:00+00,Total,31,Commuter Rail,2892062,93292,868
2024/10/01 04:00:00+00,Total,31,Ferry,135036,4356,869
2024/10/01 04:00:00+00,Total,31,The RIDE,109565,3534,870
2024/09/01 04:00:00+00,Weekday,20,Blue Line,1112301,55615,871
2024/09/01 04:00:00+00,Weekday,20,Orange Line,2564628,128231,872
2024/09/01 04:00:00+00,Weekday,20,Red Line,2489391,124470,873
2024/09/01 04:00:00+00,Weekday,20,Heavy Rail,6166320,308316,874
2024/09/01 04:00:00+00,Weekday,20,Green Line,3030050,151502,875
2024/09/01 04:00:00+00,Weekday,20,Mattapan Line,106446,5322,876
2024/09/01 04:00:00+00,Weekday,20,Light Rail,3136496,156825,877
2024/09/01 04:00:00+00,Weekday,20,Silver Line,645919,32296,878
2024/09/01 04:00:00+00,Weekday,20,Bus,5987489,299374,879
2024/09/01 04:00:00+00,Weekday,20,All Bus,6633407,331670,880
2024/09/01 04:00:00+00,Weekday,20,Commuter Rail,2268778,113439,881
2024/09/01 04:00:00+00,Weekday,20,Ferry,112138,5607,882
2024/09/01 04:00:00+00,Weekday,20,The RIDE,81564,4078,883
2024/09/01 04:00:00+00,Saturday,4,Blue Line,168683,42171,884
2024/09/01 04:00:00+00,Saturday,4,Orange Line,336034,84008,885
2024/09/01 04:00:00+00,Saturday,4,Red Line,315375,78844,886
2024/09/01 04:00:00+00,Saturday,4,Heavy Rail,820092,205023,887
2024/09/01 04:00:00+00,Saturday,4,Green Line,515757,128939,888
2024/09/01 04:00:00+00,Saturday,4,Mattapan Line,9719,2430,889
2024/09/01 04:00:00+00,Saturday,4,Light Rail,525476,131369,890
2024/09/01 04:00:00+00,Saturday,4,Silver Line,84298,21074,891
2024/09/01 04:00:00+00,Saturday,4,Bus,660252,165063,892
2024/09/01 04:00:00+00,Saturday,4,All Bus,744550,186138,893
2024/09/01 04:00:00+00,Saturday,4,Commuter Rail,155652,38913,894
2024/09/01 04:00:00+00,Saturday,4,Ferry,12107,3027,895
2024/09/01 04:00:00+00,Saturday,4,The RIDE,8096,2024,896
2024/09/01 04:00:00+00,Sunday,6,Blue Line,206749,34458,897
2024/09/01 04:00:00+00,Sunday,6,Orange Line,377916,62986,898
2024/09/01 04:00:00+00,Sunday,6,Red Line,390969,65162,899
2024/09/01 04:00:00+00,Sunday,6,Heavy Rail,975633,162606,900
2025/02/01 05:00:00+00,Total,28,Orange Line,2951196,105400,901
2024/12/01 05:00:00+00,Sunday,5,Commuter Rail,139548,27910,902
2025/02/01 05:00:00+00,Total,28,Red Line,3254041,116216,903
2025/02/01 05:00:00+00,Total,28,Heavy Rail,7356670,262738,904
2025/02/01 05:00:00+00,Total,28,Green Line,3234134,115505,905
2025/02/01 05:00:00+00,Total,28,Mattapan Line,62160,2220,906
2025/02/01 05:00:00+00,Total,28,Light Rail,3296294,117725,907
2025/02/01 05:00:00+00,Total,28,Silver Line,735296,26261,908
2025/02/01 05:00:00+00,Total,28,Bus,6465702,230918,909
2025/02/01 05:00:00+00,Total,28,All Bus,7200997,257178,910
2025/02/01 05:00:00+00,Total,28,Commuter Rail,2119364,75692,911
2025/02/01 05:00:00+00,Total,28,Ferry,64372,2299,912
2025/02/01 05:00:00+00,Total,28,The RIDE,90025,3215,913
2025/01/01 05:00:00+00,Weekday,21,Blue Line,958720,45653,914
2025/01/01 05:00:00+00,Weekday,21,Orange Line,2468309,117539,915
2025/01/01 05:00:00+00,Weekday,21,Red Line,2673631,127316,916
2025/01/01 05:00:00+00,Weekday,21,Heavy Rail,6100660,290508,917
2025/01/01 05:00:00+00,Weekday,21,Green Line,2640514,125739,918
2025/01/01 05:00:00+00,Weekday,21,Mattapan Line,57183,2723,919
2025/01/01 05:00:00+00,Weekday,21,Light Rail,2697697,128462,920
2025/01/01 05:00:00+00,Weekday,21,Silver Line,619145,29483,921
2025/01/01 05:00:00+00,Weekday,21,Bus,5616363,267446,922
2025/01/01 05:00:00+00,Weekday,21,All Bus,6235508,296929,923
2025/01/01 05:00:00+00,Weekday,21,Commuter Rail,2042561,97265,924
2025/01/01 05:00:00+00,Weekday,21,Ferry,70607,3362,925
2025/01/01 05:00:00+00,Weekday,23,The RIDE,84410,3670,926
2025/01/01 05:00:00+00,Saturday,5,Blue Line,152827,30565,927
2025/01/01 05:00:00+00,Saturday,5,Orange Line,323435,64687,928
2025/01/01 05:00:00+00,Saturday,5,Red Line,363612,72722,929
2025/01/01 05:00:00+00,Saturday,5,Heavy Rail,839874,167975,930
2025/01/01 05:00:00+00,Saturday,5,Green Line,465519,93104,931
2025/01/01 05:00:00+00,Saturday,5,Mattapan Line,7016,1403,932
2025/01/01 05:00:00+00,Saturday,5,Light Rail,472535,94507,933
2025/01/01 05:00:00+00,Saturday,5,Silver Line,91941,18388,934
2025/01/01 05:00:00+00,Saturday,5,Bus,713980,142796,935
2025/01/01 05:00:00+00,Saturday,5,All Bus,805921,161184,936
2025/01/01 05:00:00+00,Saturday,4,Commuter Rail,119533,29883,937
2025/01/01 05:00:00+00,Saturday,4,Ferry,828,207,938
2025/01/01 05:00:00+00,Saturday,4,The RIDE,7560,1890,939
2025/01/01 05:00:00+00,Sunday,5,Blue Line,120359,24072,940
2025/01/01 05:00:00+00,Sunday,5,Orange Line,246324,49265,941
2025/01/01 05:00:00+00,Sunday,5,Red Line,281643,56329,942
2025/01/01 05:00:00+00,Sunday,5,Heavy Rail,648326,129665,943
2025/01/01 05:00:00+00,Sunday,5,Green Line,349148,69830,944
2025/01/01 05:00:00+00,Sunday,5,Mattapan Line,4870,974,945
2025/01/01 05:00:00+00,Sunday,5,Light Rail,354018,70804,946
2025/01/01 05:00:00+00,Sunday,5,Silver Line,78843,15769,947
2025/01/01 05:00:00+00,Sunday,5,Bus,501077,100215,948
2025/01/01 05:00:00+00,Sunday,5,All Bus,579920,115984,949
2025/01/01 05:00:00+00,Sunday,4,Commuter Rail,105658,26414,950
2025/01/01 05:00:00+00,Sunday,4,Ferry,706,176,951
2024/12/01 05:00:00+00,Sunday,5,Ferry,970,194,952
2024/12/01 05:00:00+00,Sunday,5,The RIDE,9275,1855,953
2024/12/01 05:00:00+00,Total,31,Blue Line,1236611,39891,954
2025/01/01 05:00:00+00,Sunday,4,The RIDE,6900,1725,955
2024/12/01 05:00:00+00,Total,31,Orange Line,2996121,96649,956
2025/01/01 05:00:00+00,Total,31,Blue Line,1231906,39739,957
2024/12/01 05:00:00+00,Total,31,Red Line,3204562,103373,958
2025/01/01 05:00:00+00,Total,31,Orange Line,3038068,98002,959
2024/12/01 05:00:00+00,Total,31,Heavy Rail,7437293,239913,960
2025/01/01 05:00:00+00,Total,31,Red Line,3318886,107061,961
2025/01/01 05:00:00+00,Total,31,Heavy Rail,7588860,244802,962
2025/01/01 05:00:00+00,Total,31,Green Line,3455182,111457,963
2025/01/01 05:00:00+00,Total,31,Mattapan Line,69068,2228,964
2025/01/01 05:00:00+00,Total,31,Light Rail,3524250,113685,965
2025/01/01 05:00:00+00,Total,31,Silver Line,789928,25482,966
2025/01/01 05:00:00+00,Total,31,Bus,6831421,220368,967
2025/01/01 05:00:00+00,Total,31,All Bus,7621349,245850,968
2025/01/01 05:00:00+00,Total,31,Commuter Rail,2348137,75746,969
2025/01/01 05:00:00+00,Total,31,Ferry,72581,2341,970
2025/01/01 05:00:00+00,Total,31,The RIDE,98879,3190,971
2024/12/01 05:00:00+00,Weekday,21,Blue Line,955372,45494,972
2024/12/01 05:00:00+00,Weekday,21,Orange Line,2373072,113003,973
2024/12/01 05:00:00+00,Weekday,21,Red Line,2544391,121161,974
2024/12/01 05:00:00+00,Weekday,21,Heavy Rail,5872836,279659,975
2024/12/01 05:00:00+00,Weekday,21,Green Line,2440218,116201,976
2024/12/01 05:00:00+00,Weekday,21,Mattapan Line,53968,2570,977
2024/12/01 05:00:00+00,Weekday,21,Light Rail,2494186,118771,978
2024/12/01 05:00:00+00,Weekday,21,Silver Line,611606,29124,979
2024/12/01 05:00:00+00,Weekday,21,Bus,5079238,241868,980
2024/12/01 05:00:00+00,Weekday,21,All Bus,5690844,270993,981
2024/12/01 05:00:00+00,Weekday,21,Commuter Rail,1950999,92905,982
2024/12/01 05:00:00+00,Weekday,21,Ferry,67867,3232,983
2024/12/01 05:00:00+00,Weekday,22,The RIDE,81070,3685,984
2024/12/01 05:00:00+00,Saturday,4,Blue Line,133778,33444,985
2024/12/01 05:00:00+00,Saturday,4,Orange Line,310234,77558,986
2024/12/01 05:00:00+00,Saturday,4,Red Line,321790,80448,987
2024/12/01 05:00:00+00,Saturday,4,Heavy Rail,765803,191451,988
2024/12/01 05:00:00+00,Saturday,4,Green Line,371019,92755,989
2024/12/01 05:00:00+00,Saturday,4,Mattapan Line,4308,1077,990
2024/12/01 05:00:00+00,Saturday,4,Light Rail,375328,93832,991
2024/12/01 05:00:00+00,Saturday,4,Silver Line,86897,21724,992
2024/12/01 05:00:00+00,Saturday,4,Bus,577700,144425,993
2024/12/01 05:00:00+00,Saturday,4,All Bus,664597,166149,994
2024/12/01 05:00:00+00,Saturday,4,Commuter Rail,124283,31071,995
2024/12/01 05:00:00+00,Saturday,4,Ferry,917,229,996
2024/12/01 05:00:00+00,Saturday,4,The RIDE,8036,2009,997
2024/12/01 05:00:00+00,Sunday,6,Blue Line,147460,24577,998
2024/12/01 05:00:00+00,Sunday,6,Orange Line,312814,52136,999
2024/12/01 05:00:00+00,Sunday,6,Red Line,338381,56397,1000
2024/12/01 05:00:00+00,Sunday,6,Heavy Rail,798655,133109,1001
2024/12/01 05:00:00+00,Sunday,6,Green Line,399094,66516,1002
2024/12/01 05:00:00+00,Sunday,6,Mattapan Line,5136,856,1003
2024/12/01 05:00:00+00,Sunday,6,Light Rail,404230,67372,1004
2024/12/01 05:00:00+00,Sunday,6,Silver Line,127021,21170,1005
2024/12/01 05:00:00+00,Sunday,6,Bus,721825,120304,1006
2024/12/01 05:00:00+00,Sunday,6,All Bus,848846,141474,1007
2024/12/01 05:00:00+00,Total,31,Green Line,3210331,103559,1008
2024/12/01 05:00:00+00,Total,31,Mattapan Line,63412,2046,1009
2024/12/01 05:00:00+00,Total,31,Light Rail,3273743,105605,1010
2024/12/01 05:00:00+00,Total,31,Silver Line,825524,26630,1011
2024/12/01 05:00:00+00,Total,31,Bus,6378763,205767,1012
2024/12/01 05:00:00+00,Total,31,All Bus,7204287,232396,1013
2024/12/01 05:00:00+00,Total,31,Commuter Rail,2235957,72128,1014
2024/12/01 05:00:00+00,Total,31,Ferry,69754,2250,1015
2024/12/01 05:00:00+00,Total,31,The RIDE,98387,3174,1016
2024/11/01 04:00:00+00,Weekday,20,Blue Line,1026832,51342,1017
2024/11/01 04:00:00+00,Weekday,20,Orange Line,2237525,111876,1018
2024/11/01 04:00:00+00,Weekday,20,Red Line,2126691,106335,1019
2024/11/01 04:00:00+00,Weekday,20,Heavy Rail,5391048,269552,1020
2024/11/01 04:00:00+00,Weekday,20,Green Line,2781810,139090,1021
2024/11/01 04:00:00+00,Weekday,20,Mattapan Line,57052,2853,1022
2024/11/01 04:00:00+00,Weekday,20,Light Rail,2838862,141943,1023
2024/11/01 04:00:00+00,Weekday,20,Silver Line,601656,30083,1024
2024/11/01 04:00:00+00,Weekday,20,Bus,5569521,278476,1025
2024/11/01 04:00:00+00,Weekday,20,All Bus,6171177,308559,1026
2024/11/01 04:00:00+00,Weekday,19,Commuter Rail,1962778,103304,1027
2024/11/01 04:00:00+00,Weekday,19,Ferry,82699,4353,1028
2024/11/01 04:00:00+00,Weekday,21,The RIDE,82572,3932,1029
2024/11/01 04:00:00+00,Saturday,5,Blue Line,191452,38290,1030
2024/11/01 04:00:00+00,Saturday,5,Orange Line,394355,78871,1031
2024/11/01 04:00:00+00,Saturday,5,Red Line,377059,75412,1032
2024/11/01 04:00:00+00,Saturday,5,Heavy Rail,962866,192573,1033
2024/11/01 04:00:00+00,Saturday,5,Green Line,556280,111256,1034
2024/11/01 04:00:00+00,Saturday,5,Mattapan Line,5978,1196,1035
2024/11/01 04:00:00+00,Saturday,5,Light Rail,562258,112452,1036
2024/11/01 04:00:00+00,Saturday,5,Silver Line,104832,20966,1037
2024/11/01 04:00:00+00,Saturday,5,Bus,786295,157259,1038
2024/11/01 04:00:00+00,Saturday,5,All Bus,891128,178226,1039
2024/11/01 04:00:00+00,Saturday,5,Commuter Rail,195480,39096,1040
2024/11/01 04:00:00+00,Saturday,5,Ferry,3050,610,1041
2024/11/01 04:00:00+00,Saturday,5,The RIDE,10175,2035,1042
2024/11/01 04:00:00+00,Sunday,5,Blue Line,138343,27669,1043
2024/11/01 04:00:00+00,Sunday,5,Orange Line,270685,54137,1044
2024/11/01 04:00:00+00,Sunday,5,Red Line,258194,51639,1045
2024/11/01 04:00:00+00,Sunday,5,Heavy Rail,667222,133444,1046
2024/11/01 04:00:00+00,Sunday,5,Green Line,394474,78895,1047
2024/11/01 04:00:00+00,Sunday,5,Mattapan Line,3751,750,1048
2024/11/01 04:00:00+00,Sunday,5,Light Rail,398225,79645,1049
2024/11/01 04:00:00+00,Sunday,5,Silver Line,81224,16245,1050
2024/11/01 04:00:00+00,Sunday,5,Bus,503833,100767,1051
2024/11/01 04:00:00+00,Sunday,5,All Bus,585057,117011,1052
2024/11/01 04:00:00+00,Sunday,4,Commuter Rail,102994,25748,1053
2024/11/01 04:00:00+00,Sunday,4,Ferry,2494,624,1054
2024/11/01 04:00:00+00,Sunday,4,The RIDE,7884,1971,1055
2024/11/01 04:00:00+00,Total,30,Blue Line,1356627,45221,1056
2024/11/01 04:00:00+00,Total,30,Orange Line,2902565,96752,1057
2024/11/01 04:00:00+00,Total,30,Red Line,2761944,92065,1058
2024/11/01 04:00:00+00,Total,30,Heavy Rail,7021136,234038,1059
2024/11/01 04:00:00+00,Total,30,Green Line,3732565,124419,1060
2024/11/01 04:00:00+00,Total,30,Mattapan Line,66780,2226,1061
2024/11/01 04:00:00+00,Total,30,Light Rail,3799345,126645,1062
2024/11/01 04:00:00+00,Total,30,Silver Line,787712,26257,1063
2024/11/01 04:00:00+00,Total,30,Bus,6859650,228655,1064
2024/11/01 04:00:00+00,Total,30,All Bus,7647362,254912,1065
2024/11/01 04:00:00+00,Total,30,Commuter Rail,2370524,79017,1066
2024/11/01 04:00:00+00,Total,30,Ferry,91942,3065,1067
2024/11/01 04:00:00+00,Total,30,The RIDE,100652,3355,1068
2024/10/01 04:00:00+00,Weekday,22,Blue Line,1226420,55746,1069
2024/10/01 04:00:00+00,Weekday,22,Orange Line,2542369,115562,1070
2024/10/01 04:00:00+00,Weekday,22,Red Line,3217799,146264,1071
2024/10/01 04:00:00+00,Weekday,22,Heavy Rail,6986589,317572,1072
2024/10/01 04:00:00+00,Weekday,22,Green Line,3457518,157160,1073
2024/10/01 04:00:00+00,Weekday,22,Mattapan Line,81929,3724,1074
2024/10/01 04:00:00+00,Weekday,22,Light Rail,3539447,160884,1075
2024/10/01 04:00:00+00,Weekday,22,Silver Line,751867,34176,1076
2024/10/01 04:00:00+00,Weekday,22,Bus,6588892,299495,1077
2024/10/01 04:00:00+00,Weekday,22,All Bus,7340758,333671,1078
2024/10/01 04:00:00+00,Weekday,23,Commuter Rail,2531640,110071,1079
2024/10/01 04:00:00+00,Weekday,23,Ferry,119940,5215,1080
2024/10/01 04:00:00+00,Weekday,23,The RIDE,93196,4052,1081
2024/10/01 04:00:00+00,Saturday,5,Blue Line,208645,41729,1082
2024/10/01 04:00:00+00,Saturday,5,Orange Line,314828,62966,1083
2024/10/01 04:00:00+00,Saturday,5,Red Line,494260,98852,1084
2024/10/01 04:00:00+00,Saturday,5,Heavy Rail,1017733,203547,1085
2024/10/01 04:00:00+00,Saturday,5,Green Line,637198,127440,1086
2024/10/01 04:00:00+00,Saturday,5,Mattapan Line,9873,1975,1087
2024/10/01 04:00:00+00,Saturday,5,Light Rail,647071,129414,1088
2024/10/01 04:00:00+00,Saturday,5,Silver Line,120068,24014,1089
2024/10/01 04:00:00+00,Saturday,5,Bus,841554,168311,1090
2024/10/01 04:00:00+00,Saturday,5,All Bus,961622,192324,1091
2024/10/01 04:00:00+00,Saturday,4,Commuter Rail,204437,51109,1092
2024/10/01 04:00:00+00,Saturday,4,Ferry,9767,2442,1093
2024/10/01 04:00:00+00,Saturday,4,The RIDE,8668,2167,1094
2024/10/01 04:00:00+00,Sunday,4,Blue Line,129574,32394,1095
2024/10/01 04:00:00+00,Sunday,4,Orange Line,189684,47421,1096
2024/10/01 04:00:00+00,Sunday,4,Red Line,304768,76192,1097
2024/10/01 04:00:00+00,Sunday,4,Heavy Rail,624025,156006,1098
2024/10/01 04:00:00+00,Sunday,4,Green Line,384692,96173,1099
2024/10/01 04:00:00+00,Sunday,4,Mattapan Line,5287,1322,1100
2024/09/01 04:00:00+00,Sunday,6,Green Line,598688,99781,1101
2024/09/01 04:00:00+00,Sunday,6,Mattapan Line,11784,1964,1102
2024/09/01 04:00:00+00,Sunday,6,Light Rail,610472,101745,1103
2024/09/01 04:00:00+00,Sunday,6,Silver Line,109804,18301,1104
2024/09/01 04:00:00+00,Sunday,6,Bus,705775,117629,1105
2024/09/01 04:00:00+00,Sunday,6,All Bus,815579,135930,1106
2024/09/01 04:00:00+00,Sunday,5,Commuter Rail,152865,30573,1107
2024/09/01 04:00:00+00,Sunday,5,Ferry,13972,2794,1108
2024/09/01 04:00:00+00,Sunday,5,The RIDE,9000,1800,1109
2024/09/01 04:00:00+00,Total,30,Blue Line,1487733,49591,1110
2024/09/01 04:00:00+00,Total,30,Orange Line,3278577,109286,1111
2024/09/01 04:00:00+00,Total,30,Red Line,3195735,106524,1112
2024/09/01 04:00:00+00,Total,30,Heavy Rail,7962046,265402,1113
2024/09/01 04:00:00+00,Total,30,Green Line,4144495,138150,1114
2024/09/01 04:00:00+00,Total,30,Mattapan Line,127949,4265,1115
2024/09/01 04:00:00+00,Total,30,Light Rail,4272444,142415,1116
2024/09/01 04:00:00+00,Total,30,Silver Line,840020,28001,1117
2024/09/01 04:00:00+00,Total,30,Bus,7353516,245117,1118
2024/09/01 04:00:00+00,Total,30,All Bus,8193536,273118,1119
2024/09/01 04:00:00+00,Total,30,Commuter Rail,2608271,86942,1120
2024/09/01 04:00:00+00,Total,30,Ferry,142024,4734,1121
2024/09/01 04:00:00+00,Total,30,The RIDE,98681,3289,1122
2024/08/01 04:00:00+00,Weekday,22,Blue Line,1032197,46918,1123
2024/08/01 04:00:00+00,Weekday,22,Orange Line,2348847,106766,1124
2024/08/01 04:00:00+00,Weekday,22,Red Line,2375187,107963,1125
2024/08/01 04:00:00+00,Weekday,22,Heavy Rail,5756231,261647,1126
2024/08/01 04:00:00+00,Weekday,22,Green Line,2731873,124176,1127
2024/08/01 04:00:00+00,Weekday,22,Mattapan Line,59255,2693,1128
2024/08/01 04:00:00+00,Weekday,22,Light Rail,2791129,126870,1129
2024/08/01 04:00:00+00,Weekday,22,Silver Line,614243,27920,1130
2024/08/01 04:00:00+00,Weekday,22,Bus,5216032,237092,1131
2024/08/01 04:00:00+00,Weekday,22,All Bus,5830275,265012,1132
2024/08/01 04:00:00+00,Weekday,22,Commuter Rail,2314957,105225,1133
2024/08/01 04:00:00+00,Weekday,22,Ferry,140866,6403,1134
2024/08/01 04:00:00+00,Weekday,22,The RIDE,80894,3677,1135
2024/08/01 04:00:00+00,Saturday,5,Blue Line,171977,34395,1136
2024/08/01 04:00:00+00,Saturday,5,Orange Line,279019,55804,1137
2024/08/01 04:00:00+00,Saturday,5,Red Line,368765,73753,1138
2024/08/01 04:00:00+00,Saturday,5,Heavy Rail,819761,163952,1139
2024/08/01 04:00:00+00,Saturday,5,Green Line,494306,98861,1140
2024/08/01 04:00:00+00,Saturday,5,Mattapan Line,7747,1549,1141
