month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/05/01 04:00:00+00,Total,31,Light Rail,3520896,113577,88
2026/05/01 04:00:00+00,Total,31,Silver Line,926490,29887,89
2026/05/01 04:00:00+00,Total,31,Bus,7689109,248036,90
2026/05/01 04:00:00+00,Total,31,All Bus,8615599,277923,91
2026/05/01 04:00:00+00,Total,31,Commuter Rail,2736085,88261,92
2026/05/01 04:00:00+00,Total,31,Ferry,124726,4023,93
2026/05/01 04:00:00+00,Total,31,The RIDE,114157,3682,94
2026/04/01 04:00:00+00,Weekday,21,Blue Line,1118550,53264,95
2026/04/01 04:00:00+00,Weekday,21,Orange Line,3134021,149239,96
2026/04/01 04:00:00+00,Weekday,21,Red Line,3415254,162631,97
2026/04/01 04:00:00+00,Weekday,21,Heavy Rail,7667825,365135,98
2026/04/01 04:00:00+00,Weekday,21,Green Line,2972359,141541,99
2026/04/01 04:00:00+00,Weekday,21,Mattapan Line,65104,3100,100
2026/06/01 04:00:00+00,Weekday,21,Commuter Rail,2244456,106879,101
2026/06/01 04:00:00+00,Weekday,21,Ferry,146702,6986,102
2026/06/01 04:00:00+00,Weekday,21,The RIDE,88380,4209,103
2026/06/01 04:00:00+00,Saturday,4,Blue Line,187191,46798,104
2026/06/01 04:00:00+00,Saturday,4,Orange Line,467035,116759,105
2026/06/01 04:00:00+00,Saturday,4,Red Line,518829,129707,106
2026/06/01 04:00:00+00,Saturday,4,Heavy Rail,1173054,293264,107
2026/06/01 04:00:00+00,Saturday,4,Green Line,502580,125645,108
2026/06/01 04:00:00+00,Saturday,4,Mattapan Line,7497,1874,109
2026/06/01 04:00:00+00,Saturday,4,Light Rail,510077,127519,110
2026/06/01 04:00:00+00,Saturday,4,Silver Line,98105,24526,111
2026/06/01 04:00:00+00,Saturday,4,Bus,753882,188470,112
2026/06/01 04:00:00+00,Saturday,4,All Bus,851986,212996,113
2026/06/01 04:00:00+00,Saturday,4,Commuter Rail,167278,41820,114
2026/06/01 04:00:00+00,Saturday,4,Ferry,24742,6186,115
2026/06/01 04:00:00+00,Saturday,4,The RIDE,8427,2107,116
2026/06/01 04:00:00+00,Sunday,4,Blue Line,135123,33781,117
2026/06/01 04:00:00+00,Sunday,4,Orange Line,333616,83404,118
2026/06/01 04:00:00+00,Sunday,4,Red Line,382936,95734,119
2026/06/01 04:00:00+00,Sunday,4,Heavy Rail,851675,212919,120
2026/06/01 04:00:00+00,Sunday,4,Green Line,362275,90569,121
2026/06/01 04:00:00+00,Sunday,4,Mattapan Line,5740,1435,122
2026/06/01 04:00:00+00,Sunday,4,Light Rail,368015,92004,123
2026/06/01 04:00:00+00,Sunday,4,Silver Line,85604,21401,124
2026/06/01 04:00:00+00,Sunday,4,Bus,553450,138362,125
2026/06/01 04:00:00+00,Sunday,4,All Bus,639053,159763,126
2026/06/01 04:00:00+00,Sunday,4,Commuter Rail,159264,39816,127
2026/06/01 04:00:00+00,Sunday,4,Ferry,18070,4518,128
2026/06/01 04:00:00+00,Sunday,4,The RIDE,7772,1943,129
2026/06/01 04:00:00+00,Total,30,Blue Line,1597540,53251,130
2026/06/01 04:00:00+00,Total,30,Orange Line,4304094,143470,131
2026/06/01 04:00:00+00,Total,30,Red Line,4706609,156887,132
2026/06/01 04:00:00+00,Total,30,Heavy Rail,10608244,353608,133
2026/06/01 04:00:00+00,Total,30,Green Line,3785888,126196,134
2026/06/01 04:00:00+00,Total,30,Mattapan Line,81196,2707,135
2026/06/01 04:00:00+00,Total,30,Light Rail,3867084,128903,136
2026/06/01 04:00:00+00,Total,30,Silver Line,950398,31680,137
2026/06/01 04:00:00+00,Total,30,Bus,7829109,260970,138
2026/06/01 04:00:00+00,Total,30,All Bus,8779507,292650,139
2026/06/01 04:00:00+00,Total,30,Commuter Rail,2657140,88571,140
2026/06/01 04:00:00+00,Total,30,Ferry,198717,6624,141
2026/06/01 04:00:00+00,Total,30,The RIDE,104579,3486,142
2026/05/01 04:00:00+00,Weekday,20,Blue Line,1083809,54190,143
2026/05/01 04:00:00+00,Weekday,20,Orange Line,2948348,147417,144
2026/05/01 04:00:00+00,Weekday,20,Red Line,3171339,158567,145
2026/05/01 04:00:00+00,Weekday,20,Heavy Rail,7203496,360175,146
2026/05/01 04:00:00+00,Weekday,20,Green Line,2464060,123203,147
2026/05/01 04:00:00+00,Weekday,20,Mattapan Line,52986,2649,148
2026/05/01 04:00:00+00,Weekday,20,Light Rail,2517047,125852,149
2026/05/01 04:00:00+00,Weekday,20,Silver Line,686348,34317,150
2026/01/01 05:00:00+00,Weekday,20,Blue Line,893813,44691,151
2026/01/01 05:00:00+00,Weekday,20,Orange Line,2600730,130036,152
2026/01/01 05:00:00+00,Weekday,20,Red Line,2729256,136463,153
2026/01/01 05:00:00+00,Weekday,20,Heavy Rail,6223799,311190,154
2026/01/01 05:00:00+00,Weekday,20,Green Line,2453296,122665,155
2026/01/01 05:00:00+00,Weekday,20,Mattapan Line,51026,2551,156
2026/01/01 05:00:00+00,Weekday,20,Light Rail,2504322,125216,157
2026/01/01 05:00:00+00,Weekday,20,Silver Line,560060,28003,158
2026/01/01 05:00:00+00,Weekday,20,Bus,5022135,251107,159
2026/01/01 05:00:00+00,Weekday,20,All Bus,5582195,279110,160
2026/01/01 05:00:00+00,Weekday,20,Commuter Rail,2032694,101635,161
2026/01/01 05:00:00+00,Weekday,20,Ferry,58413,2921,162
2026/01/01 05:00:00+00,Weekday,20,The RIDE,79191,3960,163
2026/01/01 05:00:00+00,Saturday,6,Blue Line,160719,26786,164
2026/01/01 05:00:00+00,Saturday,6,Orange Line,407895,67982,165
2026/01/01 05:00:00+00,Saturday,6,Red Line,494228,82371,166
2026/01/01 05:00:00+00,Saturday,6,Heavy Rail,1062842,177140,167
2026/01/01 05:00:00+00,Saturday,6,Green Line,542999,90500,168
2026/01/01 05:00:00+00,Saturday,6,Mattapan Line,8437,1406,169
2026/01/01 05:00:00+00,Saturday,6,Light Rail,551437,91906,170
2026/01/01 05:00:00+00,Saturday,6,Silver Line,110816,18469,171
2026/01/01 05:00:00+00,Saturday,6,Bus,840733,140122,172
2026/01/01 05:00:00+00,Saturday,6,All Bus,951549,158592,173
2026/01/01 05:00:00+00,Saturday,5,Commuter Rail,185163,37033,174
2026/01/01 05:00:00+00,Saturday,5,Ferry,1238,248,175
2026/01/01 05:00:00+00,Saturday,5,The RIDE,10094,2019,176
2026/01/01 05:00:00+00,Sunday,5,Blue Line,95232,19046,177
2026/01/01 05:00:00+00,Sunday,5,Orange Line,218222,43644,178
2026/01/01 05:00:00+00,Sunday,5,Red Line,273314,54663,179
2026/01/01 05:00:00+00,Sunday,5,Heavy Rail,586768,117354,180
2026/01/01 05:00:00+00,Sunday,5,Green Line,287175,57435,181
2026/01/01 05:00:00+00,Sunday,5,Mattapan Line,5151,1030,182
2026/01/01 05:00:00+00,Sunday,5,Light Rail,292326,58465,183
2026/01/01 05:00:00+00,Sunday,5,Silver Line,71393,14279,184
2026/01/01 05:00:00+00,Sunday,5,Bus,454010,90802,185
2026/01/01 05:00:00+00,Sunday,5,All Bus,525403,105081,186
2026/01/01 05:00:00+00,Sunday,4,Commuter Rail,139592,34898,187
2026/01/01 05:00:00+00,Sunday,4,Ferry,529,132,188
2026/01/01 05:00:00+00,Sunday,4,The RIDE,9550,2388,189
2026/01/01 05:00:00+00,Total,31,Blue Line,1149764,37089,190
2026/01/01 05:00:00+00,Total,31,Orange Line,3226847,104092,191
2026/01/01 05:00:00+00,Total,31,Red Line,3496798,112800,192
2026/01/01 05:00:00+00,Total,31,Heavy Rail,7873410,253981,193
2026/01/01 05:00:00+00,Total,31,Green Line,3283471,105918,194
